stat_id	stat_nm	lat	lon	link_id	dist_m
AH000040	서울 혜광전력 신축오피스텔	37.49717207	126.9861774	1210021200	116.94
AH000053	서울 국립산림과학원	37.59331396	127.0438452	1050018700	164.76
AH000062	서울 쌍문종합체육센터	37.654381122	127.02836981	1090007400	182.07
AH000086	서울 강남센터뷰 오피스텔 B1	37.47443586	127.10711137	1220006700	53.35
ALAL0005	잠원한신한강	37.5214809	127.0152663	1210030200	96.27
AM900008	보건복지행정타운 충전소	37.565011	127.0845968	1040016400	260.61
AM900009	보건복지행정타운(경기북부) 급속충전소	37.565011	127.0845968	1040016400	260.61
AM900012	서울 한샘상암사옥 충전소	37.5761509	126.8987638	1130026700	56.92
AM900040	마곡로뎀타워 급속충전소	37.559106	126.8280365	1150058800	109.09
AM900041	마곡로뎀타워 충전소	37.55909967	126.8279956	1150058800	105.41
AM900042	서울 아이콘역삼빌딩 충전소	37.502327015	127.0444446	1220024700	138.6
AM900043	더채플청담빌딩	37.5225918	127.0303773	1220034500	181.32
AM900044	더채플논현빌딩	37.505084699	127.02599437	1220027200	80.04
AM900045	진양빌딩	37.563801799	126.95818885	1130009601	267.48
AM900049	서울하나손해보험빌딩	37.57280393	126.9970973	1000008700	46.43
AM900055	강남일옥빌딩(신한강남L타워)	37.50317135	127.0460709	1220026100	88.23
AM900057	송파 와이즈더샵	37.47709543	127.1437235	1230229900	123.15
AM900061	단암타워	37.55854116	126.9754111	1010002300	45.2
AM900062	휴네시온	37.52114656	127.0555181	1220004200	106.08
AM900065	성수드림빌드지식산업센터	37.54359489	127.0583489	1030006700	72.48
AMAM0003	파크엠빌딩	37.57853	126.894285	1130027200	40.92
AMAM0004	서계동 청년주택	37.550569	126.968172	1020021700	145.75
AMAM0005	왕십리 청년주택	37.5636201	127.041975	1030016200	132.79
AMAM0009	건국대 사범대학부속 중학교	37.541724	127.081597	1040001700	232.44
BE111108	워터 서울 광화문	37.574641	126.978913	1000011200	21.85
BE240104	워터 북한산 제1주차장	37.6566607	126.9467704	1110016200	243.52
BE240105	워터 송파 한양타워	37.48595545	127.11797785	1230001900	359.76
BE240301	워터 서울 태영운수	37.580889599	126.81949056	1150004500	335.56
BE240709	워터 서울시교통회관	37.5157661	127.1056117	1230029800	92.86
BNAA0101	은평구 갈현노인복지관	37.6248739	126.918642	1110014200	109.33
BNAA0104	독산1동 공영주차장	37.464822	126.89485	1170002900	232.87
BNAA0105	독산2동 공영주차장	37.463768	126.89908	1170003000	135.21
BNAA0106	독산3동 공영주차장	37.479632	126.90645	1200004000	105.66
BNAA0107	삼성체육공원 공영주차장	37.454791	126.90903	1170002800	274.9
BNAA0108	시흥4동 효봉 공영주차장	37.460893	126.910952	1170002800	569.09
BNAA0109	시흥4동 공영주차장	37.459156	126.908331	1170002800	440.98
BNAA0201	중구구민회관 주차장	37.568327	127.005666	1000005400	183.9
BNAA0203	보문동 주민센터	37.580308	127.022764	1070002700	70.62
BNAA0302	용산구 시설관리공단	37.541627	126.961464	1020016700	64.67
BNAB0301	한국무역보험공사 종로	37.569774	126.978871	1000005000	37.64
BNAB0510	동산 공영주차장	37.556153	127.015808	1030014900	343.28
BNAB0595	서울 관악구 조원동 제1공영주차장	37.481038	126.905714	1200004000	142.13
BNAG3302	이앤씨6차	37.485169	126.89272	1160005500	236.66
BNAH3301	생각공장 데시앙플렉스(성수동)	37.539479152	127.08428712	1040001800	107.47
BNAH3702	신생중앙교회(서울 성북구)	37.611524	127.065107	1070018100	151.49
