addr	busi_call	busi_id	lat	lng	note	stat_id	stat_nm	year	zcode	zscode
서울특별시 마포구 독막로28길 7	1661-7766	EV	37.5470388	126.93763		EV004340	서울마포 신수성원아파트	2022	11	11440
서울특별시 강남구 영동대로 513	1661-7766	EV	37.5118239	127.059159	외부인 사용불가	EV004352	서울강남 코엑스라이브플라자B3	2021	11	11680
서울특별시 성동구 금호로 100	1661-7766	EV	37.5545318	127.0260923	외부인 사용불가	EV004367	서울성동 금호벽산 101동	2021	11	11200
서울특별시 성동구 금호로 100	1661-7766	EV	37.5545318	127.0260923	외부인 사용불가	EV004368	서울성동 금호벽산 305동	2021	11	11200
서울특별시 용산구 장문로 141	1661-7766	EV	37.5289898	127.00387	외부인 사용불가	EV004427	서울용산 한남힐스테이트2	2021	11	11170
서울특별시 마포구 성암로1길 8	1661-7766	EV	37.5685938	126.9120787	외부인 사용불가	EV004429	서울마포 성사1차풍림아파트	2021	11	11440
서울특별시 성북구 아리랑로5길 92	1661-7766	EV	37.5984608	127.0115421	외부인 사용불가	EV004483	서울성북 돈암신일해피트리	2021	11	11290
서울특별시 강서구 양천로75길 57	1661-7766	EV	37.552916347	126.87518817	외부인 사용불가	EV004485	서울강서 염창현대1차아파트 지하3층	2021	11	11500
서울특별시 양천구 목동동로10길 16-6	1661-7766	EV	37.5175708	126.8712779	외부인 사용불가	EV004518	서울양천 신정경남아너스빌 1501동	2021	11	11470
서울특별시 용산구 백범로90길 74	1661-7766	EV	37.537954406	126.97025367	외부인 사용불가	EV004535	서울용산 용산이안1	2021	11	11170
서울특별시 용산구 백범로90길 74	1661-7766	EV	37.5380768	126.9698651	외부인 사용불가	EV004536	서울용산 용산이안2	2021	11	11170
서울특별시 동작구 양녕로 170	1661-7766	EV	37.4970019	126.9436426	외부인 사용불가	EV004566	서울동작 롯데캐슬비엔아파트	2022	11	11590
서울특별시 노원구 상계로23다길 13-8	1661-7766	EV	37.6598344	127.069197	외부인 사용불가	EV004585	서울노원 노원아이파크	2021	11	11350
서울특별시 동작구 양녕로23길 9	1661-7766	EV	37.495308641	126.94244098	외부인 사용불가	EV004588	서울동작 경향렉스빌아파트 지하3층	2022	11	11590
서울특별시 동작구 양녕로23길 9	1661-7766	EV	37.4953242	126.9417295	외부인 사용불가	EV004589	서울동작 경향렉스빌아파트 지하2층	2022	11	11590
서울특별시 동작구 양녕로23길 9	1661-7766	EV	37.495209188	126.94174277	외부인 사용불가	EV004590	서울동작 경향렉스빌아파트 지하1층	2022	11	11590
서울특별시 용산구 효창원로 17	1661-7766	EV	37.5344327	126.9501826	외부인 사용불가	EV004594	서울용산 리버힐삼성아파트 116주차장	2022	11	11170
서울특별시 용산구 효창원로 17	1661-7766	EV	37.5344327	126.9501826	외부인 사용불가	EV004595	서울용산 리버힐삼성아파트 120주차장	2022	11	11170
서울특별시 용산구 효창원로 17	1661-7766	EV	37.5344327	126.9501826	외부인 사용불가	EV004596	서울용산 리버힐삼성아파트 121주차장	2022	11	11170
서울특별시 용산구 효창원로 17	1661-7766	EV	37.5344327	126.9501826	외부인 사용불가	EV004597	서울용산 리버힐삼성아파트 115주차장	2022	11	11170
서울특별시 성북구 서경로 28	1661-7766	EV	37.6061499	127.0157105	외부인 사용불가	EV004606	서울성북 길음뉴타운데시앙 101동	2022	11	11290
서울특별시 성북구 서경로 28	1661-7766	EV	37.6061499	127.0157105	외부인 사용불가	EV004607	서울성북 길음뉴타운데시앙 상가동	2022	11	11290
서울특별시 용산구 백범로 341	1661-7766	EV	37.5379387	126.9679734	외부인 사용불가	EV004608	리첸시아용산(A)	2021	11	11170
서울특별시 용산구 백범로 341	1661-7766	EV	37.537791638	126.96800212	외부인 사용불가	EV004609	리첸시아용산(B)	2022	11	11170
서울특별시 구로구 남부순환로95길 42-15	1661-7766	EV	37.494908	126.8556794		EV004653	서울구로 율포그레이스빌 지하2층	2022	11	11530
서울특별시 노원구 덕릉로112길 24	1661-7766	EV	37.666025052	127.07969574	외부인 사용불가	EV004654	서울노원 청암1단지1	2021	11	11350
서울특별시 노원구 덕릉로112길 24	1661-7766	EV	37.665349725	127.07908865	외부인 사용불가	EV004655	서울노원 청암1단지2	2021	11	11350
